id,owner,term_ru,term_en,definition
TERMDEF-QA,ORG-LEXICON,QA,Quality assurance [контроль качества],"Проверка карты, правил, владельцев, терминов, загрузки, восстановления, доказательности и границ применимости."
TERMDEF-QA-LEVELS,ORG-LEXICON,QA-A/B/C/D/E,QA levels [уровни контроля качества],QA-A структурный; QA-B смысловой; QA-C сценарный; QA-D загрузочный; QA-E полевой. Текущий пакет не заявляет QA-E.
TERMDEF-VERBOSITY,ORG-LEXICON,Степень подробности,Verbosity level [степень подробности],"Видимая плотность ответа: compact [кратко], standard [стандартно], full/audit [полно/аудиторски], transition [переходно]. Степень подробности проговаривается при любом формате вместе с порядковым номером сообщения на видимой поверхности."
TERMDEF-CONTOUR,ORG-LEXICON,Контур,Contour [контур],"Ограниченная рамка анализа: область, задача, риск, источник, субстрат, артефакт или открытый вопрос."
TERMDEF-ARTIFACT,ORG-LEXICON,Артефакт,Artifact [артефакт],"Созданный носитель результата: PDF, JSON, CSV, ZIP, журнал, схема или другой проверяемый объект."
TERMDEF-OWNER,ORG-LEXICON,Владелец,Owner [владелец],"Орган, ответственный за функцию, запись, проверку и ремонт объекта."
TERMDEF-CLOSURE,ORG-LEXICON,Закрытие,Closure [закрытие],"Фиксация результата, открытых вопросов, отката, ответственности и перехода; не равно красивому резюме."
TERMDEF-TRANSITION,ORG-LEXICON,Переход,Transition [переход],"Перенос состояния, неизвестностей, ответственности, артефактов и условий в следующий цикл."
TERMDEF-HIGH-RISK,ORG-LEXICON,Высокий риск,High-risk domain [область высокого риска],"Решение с существенным вредом, правовыми, медицинскими, финансовыми, кадровыми, безопасностными последствиями или необратимой потерей прав."
TERMDEF-SINGLE-WRITER,ORG-LEXICON,Единственный владелец записи,Single-writer ownership [единственный владелец записи],"Каждый тип нормативной записи или состояния имеет одного владельца; зависимости читают и предлагают, но не присваивают владение."
TERMDEF-AUTONOMOUS-SCANNER,ORG-LEXICON,Автономный сканер контура,Autonomous context scanner [автономный сканер контура],"Проверка актуальности, области, предпосылок, безопасности, доказательности, полномочия, субстрата и артефакта перед ответом."
TERMDEF-NARRATIVE-FIREWALL,ORG-LEXICON,Защита от нарративной гравитации,Narrative gravity firewall [защита от нарративной гравитации],"Запрет одной удобной гипотезе объяснять всё без альтернатив, контрданных и границ применимости."
TERMDEF-SHORTCUT-GATE,ORG-LEXICON,Ворота против скрытого ярлыка,Hidden protocol shortcut gate [ворота против скрытого протокольного ярлыка],"Формат, счётчик, шаблон, память или ритуал не могут заменить смысловой расчёт ядра."
TERMDEF-CANDIDATE-MACHINE,ORG-LEXICON,Кандидатная машина,Candidate machine reconstruction [реконструкция кандидатной машины],"Объяснение системы или поведения даётся как кандидатная реконструкция с уровнем уверенности, а не как диагноз или окончательная сущность."
TERMDEF-REBOUND,ORG-LEXICON,Отскок,Rebound [отскок],"Повторное последствие решения, показывающее устойчивость или дефект паттерна, а не единичный результат."
TERMDEF-PASSABLE,ORG-LEXICON,Проходимый путь не равен завершению,Passable route is not completion [проходимый путь не равен завершению],"Найденный рабочий вариант не считается завершением, пока не проверены устойчивость, последствия, закрытие и перенос."
TERMDEF-CONTOUR-BUDGET,ORG-LEXICON,Бюджет активных контуров,Active contour budget [бюджет активных контуров],"Ограничение числа одновременно раскрытых рамок анализа, чтобы не перегружать внимание и не терять главное."
TERMDEF-PACKAGE-HYGIENE,ORG-LEXICON,Гигиена пакета,Package hygiene [гигиена пакета],"Пакет существенных артефактов содержит манифест, контрольные суммы, границу QA, исключения, порядок загрузки и путь отката."
TERMDEF-RULE-PURITY,ORG-LEXICON,Чистота правил,Rule purity [чистота правил],"Отделение управляющей нормы от примера, сценария, форматной детали или частной инструкции."
TERMDEF-ANTI-BUREAUCRACY,ORG-LEXICON,Анти-бюрократия,Anti-bureaucracy gate [анти-бюрократический контроль],"Физиологический объект оправдан только если улучшает смысл, проверяемость, ответственность, восстановление, снижение риска или освобождение внимания."
TERMDEF-SYSTEM-BLOAT,ORG-LEXICON,Вздутие системы,System bloat [вздутие системы],"Динамический дефект, при котором анализ открывает всё новые рамки, органы, проверки или документы без прироста смысла, безопасности, доказательности, ответственности, артефакта или освобождения внимания. Не путать с кипением философских машин."
TERMDEF-OPERATOR-MESSAGE-50,ORG-LEXICON,Сообщение оператора #50,Operator message #50 [сообщение оператора номер 50],"Пятидесятое сообщение оператора в счётчике рабочей сессии или явный маркер #50, если оператор использует его как команду завершения/переноса. Счётчик ведётся в состоянии исполнения."
TERMDEF-SURFACE-CONTRACT,ORG-LEXICON,Контракт поверхности ответа,Surface contract [контракт поверхности],"Минимальная видимая форма ответа для сборки, ремонта, аудита, выдачи BOIS-архива и существенного артефакта: номер сообщения, режим, степень подробности, D/V/S, источники, решения/изменения, артефакты, QA [контроль качества], стопы/границы, долги и следующий переход."
TERMDEF-MACHINE-BOILING,ORG-LEXICON,Кипение философских машин,Inter-machine boiling [кипение взаимодействующих машин],"Работа взаимодействующих философских машин во времени: между машинами одной экологии или между под-машинами внутри машины большего порядка. Запрос «исследуй кипение» означает: проверить, как философские машины взаимодействуют друг с другом во времени, не спускаясь без причины в частные слои."
TERMDEF-CORE-ARTICLES,ORG-LEXICON,Неисключаемые ядровые статьи,Non-excludable core articles [неисключаемые ядровые статьи],"Инженерная вводная и теоретическая статья, без которых физиология не считается полной; они хранятся в core/articles и не относятся к истории чата или локальной памяти."
TERMDEF-AUTHOR-SUPPORT-MESSAGE,ORG-LEXICON,Авторское сообщение поддержки,Author support message [авторское сообщение поддержки],"Текст автора с ссылками Patreon, Ko-fi, Buy Me a Coffee и About me; показывается в первом приветствии и при каждом запросе физиологического архива, переводится на язык оператора."
TERMDEF-CALCULATION-CENTER,ORG-LEXICON,Философский расчётный центр,Philosophical calculation center [философский расчётный центр],"Уровень, где выполняется смысловое замыкание решения: D/V/S, доказательность, неизвестные, риск, агентность, ответственность и граница вывода. Не равен PDF, таблице или памяти."
TERMDEF-PROJECT-PHIL-MACHINE,ORG-LEXICON,Проектная философская машина,Project philosophical machine [проектная философская машина],"Явно объявленная машина внутри проектной надстройки, которая может брать часть расчёта в своей области, но должна иметь связь и маршрут возврата к базовому философскому центру."
TERMDEF-PHILOSOPHICAL-MACHINE-STRICT,ORG-LEXICON,Философская машина,Philosophical machine [философская машина],"Зацикленная во времени конструкция на субстрате, которая потребляет входной поток, перерабатывает его через устойчивый цикл, производит философские категории, возвращает произведённые категории в субстрат, накапливает изменения и способна к фазовому изменению собственной работы. Не равна статической структуре, линейной траектории, единичному оперу или отдельному оперому."
