finding_id	affected_file	affected_selector	before_value	after_value	migration_entry_id	implementation_evidence_ref	regression_test_id	closure_test_id	status
F-219-015	HISTORICAL_ASSURANCE	finding_id=F-219-015	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-015	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-015	CHECK-F-219-015	CHECK-F-219-015	CLOSED_VALIDATED
F-219-016	HISTORICAL_ASSURANCE	finding_id=F-219-016	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-016	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-016	CHECK-F-219-016	CHECK-F-219-016	CLOSED_VALIDATED
F-219-017	HISTORICAL_ASSURANCE	finding_id=F-219-017	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-017	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-017	CHECK-F-219-017	CHECK-F-219-017	CLOSED_VALIDATED
F-219-018	HISTORICAL_ASSURANCE	finding_id=F-219-018	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-018	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-018	CHECK-F-219-018	CHECK-F-219-018	CLOSED_VALIDATED
F-219-019	HISTORICAL_ASSURANCE	finding_id=F-219-019	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-219-019	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-219-019	CHECK-F-219-019	CHECK-F-219-019	CLOSED_VALIDATED
F-220-001	HISTORICAL_ASSURANCE	finding_id=F-220-001	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-001	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-001	CHECK-F-220-001	CHECK-F-220-001	CLOSED_VALIDATED
F-220-002	HISTORICAL_ASSURANCE	finding_id=F-220-002	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-002	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-002	CHECK-F-220-002	CHECK-F-220-002	CLOSED_VALIDATED
F-220-003	HISTORICAL_ASSURANCE	finding_id=F-220-003	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-003	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-003	CHECK-F-220-003	CHECK-F-220-003	CLOSED_VALIDATED
F-220-004	HISTORICAL_ASSURANCE	finding_id=F-220-004	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-004	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-004	CHECK-F-220-004	CHECK-F-220-004	CLOSED_VALIDATED
F-220-005	HISTORICAL_ASSURANCE	finding_id=F-220-005	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-005	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-005	CHECK-F-220-005	CHECK-F-220-005	CLOSED_VALIDATED
F-220-006	HISTORICAL_ASSURANCE	finding_id=F-220-006	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-006	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-006	CHECK-F-220-006	CHECK-F-220-006	CLOSED_VALIDATED
F-220-007	HISTORICAL_ASSURANCE	finding_id=F-220-007	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-007	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-007	CHECK-F-220-007	CHECK-F-220-007	CLOSED_VALIDATED
F-220-008	HISTORICAL_ASSURANCE	finding_id=F-220-008	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-008	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-008	CHECK-F-220-008	CHECK-F-220-008	CLOSED_VALIDATED
F-220-009	HISTORICAL_ASSURANCE	finding_id=F-220-009	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-009	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-009	CHECK-F-220-009	CHECK-F-220-009	CLOSED_VALIDATED
F-220-010	HISTORICAL_ASSURANCE	finding_id=F-220-010	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-010	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-010	CHECK-F-220-010	CHECK-F-220-010	CLOSED_VALIDATED
F-220-011	HISTORICAL_ASSURANCE	finding_id=F-220-011	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-011	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-011	CHECK-F-220-011	CHECK-F-220-011	CLOSED_VALIDATED
F-220-012	HISTORICAL_ASSURANCE	finding_id=F-220-012	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-012	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-012	CHECK-F-220-012	CHECK-F-220-012	CLOSED_VALIDATED
F-220-013	HISTORICAL_ASSURANCE	finding_id=F-220-013	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-013	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-013	CHECK-F-220-013	CHECK-F-220-013	CLOSED_VALIDATED
F-220-014	HISTORICAL_ASSURANCE	finding_id=F-220-014	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-014	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-014	CHECK-F-220-014	CHECK-F-220-014	CLOSED_VALIDATED
F-220-015	HISTORICAL_ASSURANCE	finding_id=F-220-015	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-015	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-015	CHECK-F-220-015	CHECK-F-220-015	CLOSED_VALIDATED
F-220-016	HISTORICAL_ASSURANCE	finding_id=F-220-016	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-016	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-016	CHECK-F-220-016	CHECK-F-220-016	CLOSED_VALIDATED
F-220-017	HISTORICAL_ASSURANCE	finding_id=F-220-017	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-017	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-017	CHECK-F-220-017	CHECK-F-220-017	CLOSED_VALIDATED
F-220-018	HISTORICAL_ASSURANCE	finding_id=F-220-018	Historical finding not represented in reconstructed package	Historical finding, migration and validation check restored	MIG-F-220-018	migration/MIGRATION_v2.20_to_v2.22.tsv#migration_entry_id=MIG-F-220-018	CHECK-F-220-018	CHECK-F-220-018	CLOSED_VALIDATED
