reference_id	source_file	reference_kind	target_file	target_selector	selector_type	status
REF-018344357f515eabb2	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o006-07&page=77&norm_id=N-O006-07	PDF_SECTION	RESOLVES
REF-01887dac15a657c5c4	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-T-N-031-POS	TEST_ID	RESOLVES
REF-01a305db2d492bc26a	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o025-01&page=149&norm_id=N-O025-01	PDF_SECTION	RESOLVES
REF-01a54ee0ae03883c5d	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O007-07-POS	TEST_ID	RESOLVES
REF-01a6c4647d6be9c77d	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O013-10-NEG	TEST_ID	RESOLVES
REF-01a795ea4f1afb5ca3	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-090&page=50&norm_id=N-GEN-090	PDF_SECTION	RESOLVES
REF-01b493796651a2be26	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O013-05-NEG	TEST_ID	RESOLVES
REF-01c72098611a1d1cc8	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-T-N-016-NEG	TEST_ID	RESOLVES
REF-01f881fc4e15a037ac	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O007-03	TSV_PRIMARY_KEY	RESOLVES
REF-01fc80c11427c849d1	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O010-02	TEST_ID	RESOLVES
REF-0213250616c704fc9f	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-T-N-025	TEST_ID	RESOLVES
REF-022e86e91eca6ffa96	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-096-POS	TEST_ID	RESOLVES
REF-0233199140cd62fa4c	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-ALIAS-RESEARCHPROTOCOL-NEG	TEST_ID	RESOLVES
REF-023f45fe515acf1cfe	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-PACKAGE-ENGLISH-ONLY	TEST_ID	RESOLVES
REF-02426317c34429174c	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-051-NEG	TEST_ID	RESOLVES
REF-024b1de9144f46713e	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O006-03	TEST_ID	RESOLVES
REF-025e97c87a58729803	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O002-03-POS	TEST_ID	RESOLVES
REF-026879c58334f7a3ba	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-016&page=13&norm_id=N-GEN-016	PDF_SECTION	RESOLVES
REF-027442b0d862ea6bca	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o017-05&page=120&norm_id=N-O017-05	PDF_SECTION	RESOLVES
REF-0278451378d94e6a9d	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	MANIFEST.json		FILE	RESOLVES
REF-02928d9883638759b5	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-ALIAS-VALUABLEUNKNOWN-POS	TEST_ID	RESOLVES
REF-02934720d26f810990	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O018-02	TEST_ID	RESOLVES
REF-029fa984c14459449b	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O012-01	TSV_PRIMARY_KEY	RESOLVES
REF-02a01359528e02cbef	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O021-01-NEG	TEST_ID	RESOLVES
REF-02b708c1dec318cbc5	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-OBJECT-AUTHORITY-STRUCTURE	TEST_ID	RESOLVES
REF-02b9d907fa64a821f3	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	02_Temnik_Personal_Layer_v2.22_EN.pdf	section_id=t-n-002&page=3&norm_id=T-N-002	PDF_SECTION	RESOLVES
REF-02bbb6c9be58aa4cfd	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O017-02	TEST_ID	RESOLVES
REF-02cd082f43211f4173	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-GEN-090	TEST_ID	RESOLVES
REF-02cdeeffd22dbe19d9	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O010-04-NEG	TEST_ID	RESOLVES
REF-02d39d13b9e0a81e0c	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-GEN-045	TEST_ID	RESOLVES
REF-02f63e088db6fae9fa	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O015-07-POS	TEST_ID	RESOLVES
REF-02f859488e3f8a790a	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o002-07&page=61&norm_id=N-O002-07	PDF_SECTION	RESOLVES
REF-02f96af5e914b292e2	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/TEST_VECTORS.json	/tests/3	JSON_POINTER	RESOLVES
REF-02ff5e83e93a9a4d15	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O014-05-NEG	TEST_ID	RESOLVES
REF-03062be6e8ec55cad2	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O004-01-NEG	TEST_ID	RESOLVES
REF-0311458aba9fb377b5	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-025&page=18&norm_id=N-GEN-025	PDF_SECTION	RESOLVES
REF-031542a7d42f1ae175	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-OBJECT-COGNITIVEPROTOCOLRUN-BEHAVIOR	TEST_ID	RESOLVES
REF-03157175838fb5fc55	assurance/VALIDATION_SPEC.json	EVIDENCE_REFS	repair/REPAIR_PLAN_v2.22.tsv	finding_id=F-219-001	TSV_PRIMARY_KEY	RESOLVES
REF-0318e86ae4cf808151	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/OBJECT_CATALOG.tsv	object_type=Position	TSV_PRIMARY_KEY	RESOLVES
REF-031ab36759a24b331e	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-GEN-026	TEST_ID	RESOLVES
REF-0324f5ab01c3cc8c0f	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-073&page=42&norm_id=N-GEN-073	PDF_SECTION	RESOLVES
REF-032a527e5769af28c9	MANIFEST.json	FILE	machine/IDENTIFIER_GRAMMAR.json		FILE	RESOLVES
REF-032b00b427ee6cd3ff	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O015-02-NEG	TEST_ID	RESOLVES
REF-032d9b0a601497cec3	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O001-10	TEST_ID	RESOLVES
REF-035e555eb0ccaeb4da	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-057-NEG	TEST_ID	RESOLVES
REF-038d79bc8f8081609c	assurance/TEST_REGISTRY.json	PROJECTION_SPEC_REF	assurance/CYCLE_CROSSWALK.json	phase_id=C06	TSV_PRIMARY_KEY	RESOLVES
REF-0392a6e1731002eebd	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O015-05-NEG	TEST_ID	RESOLVES
REF-039ae4ff2affc6cf89	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O026-07-NEG	TEST_ID	RESOLVES
REF-03a16dd26ee4dbf77c	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-OBJECT-CARRIER-STRUCTURE	TEST_ID	RESOLVES
REF-03b805959e55f89e2c	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O024-02-POS	TEST_ID	RESOLVES
REF-03b922d6fb3b637175	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O021-01	TSV_PRIMARY_KEY	RESOLVES
REF-03ba4bce09793457e8	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O027-02	TSV_PRIMARY_KEY	RESOLVES
REF-03ce7e59025eff04cd	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O001-04	TEST_ID	RESOLVES
REF-03cfb15a610736b2b3	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-046-NEG	TEST_ID	RESOLVES
REF-03d16a049f0d8e77da	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-F-220-011-REGRESSION	TEST_ID	RESOLVES
REF-03df33e28ccd8c8b36	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-F-220-005-CLOSURE	TEST_ID	RESOLVES
REF-03e5c690a48729694f	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O021-03	TEST_ID	RESOLVES
REF-03f24ce9964cc4009b	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o020-04&page=131&norm_id=N-O020-04	PDF_SECTION	RESOLVES
REF-03fa92d0442f9e6a04	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O005-01	TSV_PRIMARY_KEY	RESOLVES
REF-0403dd3f3747bace88	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/OBJECT_CATALOG.tsv	object_type=Model	TSV_PRIMARY_KEY	RESOLVES
REF-0429f8172afc679788	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O028-05-NEG	TEST_ID	RESOLVES
REF-042a898bd60b13305a	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O023-04-NEG	TEST_ID	RESOLVES
REF-0431db672fb34d1319	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-GEN-075	TEST_ID	RESOLVES
REF-0436c0e9e7e83cdb9b	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-GATE-RESULT-READY	TEST_ID	RESOLVES
REF-0438c060b04e95a916	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-N-O014-02	NODE_ID	RESOLVES
REF-044be40f45d3195e96	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o008-04&page=83&norm_id=N-O008-04	PDF_SECTION	RESOLVES
REF-0452f39ae6c59718bf	MANIFEST.json	FILE	assurance/REFERENCE_CONTRACT.json		FILE	RESOLVES
REF-045e62ea1647b34cbc	repair/REPAIR_PLAN_v2.22.tsv	MIGRATION_ID	migration/MIGRATION_v2.20_to_v2.22.tsv	MIG-F-219-012	MIGRATION_ID	RESOLVES
REF-0460fbfe3df334690d	assurance/BUILD_DEPENDENCY_DAG.tsv	FILE	assurance/TEST_BINDINGS.tsv		FILE	RESOLVES
REF-0469730a0291130b0b	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O011-07	TEST_ID	RESOLVES
REF-047bf87fb1712008b1	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-GEN-002	TSV_PRIMARY_KEY	RESOLVES
REF-047fde5e98d561e77e	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-088&page=49&norm_id=N-GEN-088	PDF_SECTION	RESOLVES
REF-0482de334f74ee5573	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-T-N-027	TEST_ID	RESOLVES
REF-048be2cb8efc9e821d	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O012-03-NEG	TEST_ID	RESOLVES
REF-04935a9d8c73b28b25	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O003-05	TEST_ID	RESOLVES
REF-04a6332e734f1f9a0e	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O013-05-NEG	TEST_ID	RESOLVES
REF-04bc01ca111dc45dbf	assurance/VALIDATION_SPEC.json	EVIDENCE_REFS	repair/REPAIR_PLAN_v2.22.tsv	finding_id=F-220-016	TSV_PRIMARY_KEY	RESOLVES
REF-04bc0f6208791050a4	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-T-N-005	TEST_ID	RESOLVES
REF-04d168e957ef110ab8	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-GEN-055	TEST_ID	RESOLVES
REF-04f6a5181cbdc56f06	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O014-01-NEG	TEST_ID	RESOLVES
REF-05008006ac286f5c65	assurance/VALIDATION_SPEC.json	EVIDENCE_REFS	repair/REPAIR_PLAN_v2.22.tsv	finding_id=F-219-019	TSV_PRIMARY_KEY	RESOLVES
REF-050695d32c9b5cdda5	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-N-O020-04	NODE_ID	RESOLVES
REF-050783867a5f50e707	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o004-07&page=69&norm_id=N-O004-07	PDF_SECTION	RESOLVES
REF-050ca1ebe395d4cc7b	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o010-04&page=91&norm_id=N-O010-04	PDF_SECTION	RESOLVES
REF-051d4a97ef697c4a4b	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O012-07	TSV_PRIMARY_KEY	RESOLVES
REF-052622f31d8cf90df5	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-T-N-032	NODE_ID	RESOLVES
REF-052cdf86186c650304	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-011&page=11&norm_id=N-GEN-011	PDF_SECTION	RESOLVES
REF-0535195efa493d09d6	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-T-N-001-NEG	TEST_ID	RESOLVES
REF-054396eda861e60f83	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-C06-CATEGORICAL-MICROROUTE	TEST_ID	RESOLVES
REF-0556db88988cb70c92	assurance/VALIDATION_SPEC.json	EVIDENCE_REFS	repair/REPAIR_PLAN_v2.22.tsv	finding_id=F-220-008	TSV_PRIMARY_KEY	RESOLVES
REF-055a84118b057261eb	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O021-10-POS	TEST_ID	RESOLVES
REF-0560f47392c33cd7d8	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-N-GEN-090	NODE_ID	RESOLVES
REF-0584bb90d4d0b24643	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-OBJECT-COMPOSITION-STRUCTURE	TEST_ID	RESOLVES
REF-05985e2c1e2a6fadf4	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O020-01-POS	TEST_ID	RESOLVES
REF-05a72798b477bb4377	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-032&page=21&norm_id=N-GEN-032	PDF_SECTION	RESOLVES
REF-05c3657bf75d9a4890	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/NORM_CATALOG.tsv	norm_id=N-O021-02	TSV_PRIMARY_KEY	RESOLVES
REF-05c7397a5a32456c88	assurance/VALIDATION_SPEC.json	EVIDENCE_REFS	repair/REPAIR_PLAN_v2.22.tsv	finding_id=F-219-008	TSV_PRIMARY_KEY	RESOLVES
REF-05c8710170658a9a8d	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-gen-076&page=43&norm_id=N-GEN-076	PDF_SECTION	RESOLVES
REF-05dfad5e62d09c637e	assurance/JUSTIFICATION_GRAPH.json	NODE_ID	assurance/JUSTIFICATION_GRAPH.json	DER-JUST-N-GEN-043	NODE_ID	RESOLVES
REF-05f1dce0db113ee847	assurance/PDF_LOCATION_MAP.tsv	PDF_SECTION	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o002-01&page=58&norm_id=N-O002-01	PDF_SECTION	RESOLVES
REF-05f7f148ff2ea5a908	assurance/TEST_REGISTRY.json	EVIDENCE_REFERENCE	assurance/TEST_VECTORS.json	/tests/14	JSON_POINTER	RESOLVES
REF-060ac3815e1a25cd6e	assurance/BUILD_DEPENDENCY_DAG.tsv	FILE	assurance/TEST_VECTORS.json		FILE	RESOLVES
REF-06157afe0b4712a90d	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-F-220-004-REGRESSION	TEST_ID	RESOLVES
REF-061662c79f490accbd	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-GEN-034	TEST_ID	RESOLVES
REF-061cfa3084f8a52f0f	assurance/TEST_REGISTRY.json	EXECUTION_EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-GEN-079-POS	TEST_ID	RESOLVES
REF-062be3b35a61ef9728	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-POSITIVE-FORMULATION-N-O021-02	TEST_ID	RESOLVES
REF-062bfa4ceca69fbb1b	assurance/JUSTIFICATION_GRAPH.json	CANONICAL_REF	01_BOIS_Base_Core_v2.22_EN.pdf	section_id=n-o010-04&page=91&norm_id=N-O010-04	PDF_SECTION	RESOLVES
REF-062f63e28e21a23ebf	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TEST-F-220-005-REGRESSION	TEST_ID	RESOLVES
REF-0644ac4071eb710319	assurance/TEST_BINDINGS.tsv	EVIDENCE_REF	assurance/TEST_EXECUTION_RECEIPT.tsv	TC-N-O002-02-NEG	TEST_ID	RESOLVES
