load_position	component_id	path	purpose	preconditions	failure_result
58	LOAD-058	repair/FINDINGS_v2.21.tsv	Repair trace	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
59	LOAD-059	repair/FINDINGS_v2.22.tsv	Repair trace	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
60	LOAD-060	repair/REPAIR_PLAN_v2.23.tsv	Repair trace	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
61	LOAD-061	repair/REPAIR_PLAN_v2.22.tsv	Repair trace	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
62	LOAD-062	runtime/OPERATOR_ACCEPTANCE.json	Runtime profile and state projection	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
63	LOAD-063	runtime/RELEASE_CYCLE_C00_C11.json	Runtime profile and state projection	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
64	LOAD-064	runtime/RUNTIME_ATTESTATION.json	Runtime profile and state projection	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
65	LOAD-065	runtime/RUNTIME_TEMPLATES.json	Runtime profile and state projection	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
66	LOAD-066	runtime/SPECIFICATION_CHECK_RECEIPT.json	Runtime profile and state projection	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
67	LOAD-067	runtime/SUBSTRATE_PROFILE_AI_HUMAN_MEMORY.json	Runtime profile and state projection	All earlier required rows loaded or explicitly held	STOP-PACKAGE-INCOMPLETE
